"product_id","product_name","alergen_tags"
"7413","Loving Earth Buckinis Chocolate Clusters","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"11093","Hubbards Granola Crispy Super Seeds","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"7530","Blue Frog Nuts & Seeds - Cashew Almond & Maple","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"11717","Shultz Pretzels Minis Multipack","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"14105","Hubbards Almond & Chia Crunchy Bran-Ola","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"12742","Uncle Tobys Cheerios Cereal 4 Wholegrains","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"13485","Vogels All Good Granola Raspberry & Cashew","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"15158","Pams Crunchy Peanut Butter","[""Dairy Free"",""Egg Free"",""Gluten Free Coeliac/Celiac"",""Sesame Free"",""Wheat Free""]"
"13662","Hubbards Be Mighty Granola Raspberry & Coconut","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"14873","Sanitarium Weet-Bix Blends Hi-Bran Breakfast Cereal","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"11101","Blue Frog Cereal Triple Nut Cinnamon","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"11011","Vogels Cafe Style Light Muesli Vanilla & Almond","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"13481","Vogels All Good Granola Almond Coconut","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"11003","Sanitarium Cluster Crisp Cereal Triple Berry","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"7415","Loving Earth Buckinis Berry & Cacao Cereal","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"11110","Hubbards Amazing Toasted Toasted Fruit Muesli Pomegranate & Blueberry","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"14092","Kellogg's All-Bran Honey Almond Breakfast Cereal","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"14135","Hubbards Raspberry & Blueberry Crunchy Bran-Ola","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"13489","Pure Delish Local As Granola Macadamia Manuka Honey","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"14129","Chantal Organics Organic Apple Crumble Grainola","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"13660","Sanitarium Hi Fibre Granola Canadian Maple & Raspberry","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Tree-nut Free""]"
"4917","Mighty Fig Granola","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"12740","Sanitarium Weetbix Wheat Biscuits Cinnamon & Coconut Gluten Free","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
"9254","Brookfarm Cranberry & Macadamia Toasted Muesli","[""Dairy Free"",""Egg Free"",""Peanut Free"",""Sesame Free"",""Soy Free""]"
